Firm Name,Address,Nationality,Ineligible From, Ineligible Until,Notice Effective At EBRD,Originating Institution,Prohibited Practice
"Sacha Breckenfeld Reck","Av. Coronel Marcos Konder n. 1207 sala 98. Itajai – SC. Brazil","Brazil","2021-12-27T12:00:59Z","2029-12-26T12:00:59Z","2022-03-11T12:00:59Z","Inter-American Development Bank Group","Collusive Practice"
"Salvador Duart","Calle Barcelona 9, Villalbilla, 28810, Madrid, Spain","Spain","2020-07-07T12:00:59Z","2026-06-06T12:00:59Z","2020-12-16T12:00:59Z","Inter-American Development Bank Group","Collusive Practice"
"Samajik Sangha ","Last Known Address: House No. 300, Eidgha Road No. 8/A (New), West Dhanmondi, Dhaka-1209","Bangladesh",,Ongoing,"2016-02-25T04:10:59Z","World Bank Group","Fraudulent Practice"
"Sami Kunkar Kafatti","Colonia Miramontes Calle Principal Edificio Graciela Apto. No. 5 Tegucigalpa Honduras","Honduras","2021-12-13T12:00:59Z","2024-12-12T12:00:59Z","2022-03-11T12:00:59Z","Inter-American Development Bank Group","Collusive Practice"
"San Isidro-L S.R.L. ","Jr. Santiago Antunez de Mayalo No. 190, Independencia, Ancash, Huarez","Peru",,Ongoing,"2018-02-16T12:07:59Z","World Bank Group","Fraudulent Practice"
"Sao Bac Dau South Technology Joint Stock Company","Room 26, Building 8, Street 3, Quang Trung Software Park, District 12, Hochiminh City, Vietnam","Vietnam","2020-06-23T12:00:59Z","2027-06-22T12:00:59Z","2020-09-14T12:00:59Z","World Bank Group","Collusive Practice"
"Sao Bac Dau Technologies Corporation","Block U 14b-16a, Road 22, Tan Thuan EPZ, Tan Thuan Dong Ward, District 7, Ho Chi Minh City, Vietnam","Vietnam","2020-06-23T12:00:59Z","2027-06-22T12:00:59Z","2020-09-14T12:00:59Z","World Bank Group","Collusive Practice"
"Sao Bac Dau Technologies Solutions Joint Stock Company","Room 1, Building 8, Street 13, Quang Trung Software Park, District 12, Hochiminh City, Vietnam","Vietnam","2020-06-23T12:00:59Z","2027-06-22T12:00:59Z","2020-09-14T12:00:59Z","World Bank Group","Collusive Practice"
"Sao Bac Dau Technology Service Joint Stock Company","Block U 14b-16a, Road 22, Tan Thuan EPZ, Tan Thuan Dong Ward, District 7, Ho Chi Minh, Vietnam","Vietnam","2020-06-23T12:00:59Z","2027-06-22T12:00:59Z","2020-09-14T12:00:59Z","World Bank Group","Collusive Practice"
"Sao Bac Dau Telecom Joint Stock Company","Block U 14b-16a, Road 22, Tan Thuan EPZ, Tan Thuan Dong Ward, District 7, Ho Chi Minh, Vietnam","Vietnam","2020-06-23T12:00:59Z","2027-06-22T12:00:59Z","2020-09-14T12:00:59Z","World Bank Group","Collusive Practice"
"Sargittarius Henan Water Conservancy Engineering Ltd","No. 22B Adebayo Doherty Road Lekki Phase 1 Lagos Nigeria","Nigeria",,Ongoing,"2023-04-24T02:06:59Z","African Development Bank","Fraudulent Practice"
"Sargittarius Nigeria Limited","No. 22B Adebayo Doherty Road Lekki Phase 1 Lagos Nigeria","Nigeria",,Ongoing,"2023-04-24T02:06:59Z","African Development Bank","Fraudulent Practice"
"Saruul Och LLC","14-425, Area 9, Sukhe-Bator District, Ulaanbaatar Mongolia","Mongolia","2022-07-25T08:48:59Z","2026-07-24T08:48:59Z","2022-07-25T08:48:59Z","European Bank for Reconstruction and Development","Fraudulent Practice"
"Saudi-Taihan Co., Ltd.","Al-Kharj Road, Exit 12 AR Riyadh Kingdom of Saudi Arabia","Kingdom of Saudi Arabia","2024-04-02T12:00:59Z","2026-10-01T12:00:59Z","2024-05-15T12:00:59Z","World Bank Group","Collusive, Fraudulent, and Obstructive Practices"
"Sego Ventures Nigeria Limited","17B Canery Drive, MKO Abiola Gardens, Alausa, Ikeja, Lagos, Nigeria","Nigeria","2011-06-03T09:38:59Z",Ongoing,"2011-11-29T10:39:59Z","World Bank Group","Fraudulent Practice"
"Semih Sagocak President of the Board and Shareholder of Akin Project LLC","Apartment No 6, House no 325 Dilare Eliyeva Streetm Nesimi District Baku Azerbaijan 1010 Ev:13 Menzil: 9, Xatai Rayonu S. Orucoc Kucesi Baki Seheri Azerbaijan 1010","Azerbaijan",,Ongoing,"2019-08-23T09:32:59Z","Asian Development Bank","Fraudulent Practice"
"Seng Enterprise Co., Ltd.","No. 138 Street 51 Corner 294, Sangkat Boeung Keng Kang I, Khan Chmakar Morn, Phnom Penh","Cambodia",,Ongoing,"2018-05-14T03:13:59Z","World Bank Group","Corrupt Practice"
"Senwatec GmbH & Co. KG","Wacholderweg 27, 49733 Haren (Ems), Germany","Germany",,Ongoing,"2023-06-08T11:00:59Z","World Bank Group","Collusive Practice"
"Servicios De Ingenieria Y Construccion Vargas Rios","Vargas Rios (Constructora S.I.C.) 3ER. Anillo Externo, Calle Gabriel Jose Moreno, No. 300, Santa Cruz De L Sierra, Bolivia","Bolivia","2012-01-20T01:14:59Z",Ongoing,"2014-08-13T12:14:59Z","World Bank Group","Fraudulent Practice"
"Servicios Industriales en Construccion de Metalmecanica y Petroleras (Sicometp) ","Calle El Cafetal No. 77, Zona Barrio El Bajio Km. 6, Doble Via La Guardia, Santa Cruz de la Sierra, Bolivia","Bolivia","2011-10-25T03:43:59Z",Ongoing,"2014-08-13T03:43:59Z","World Bank Group","Collusive Practice"
"Servicios de Ingenieria y Construcciones, S.A.","Memorial Sandino, Sombrero 3 c/a, Al Este, Managua, Nicaragua","Nicaragua",,Ongoing,"2022-05-26T07:15:59Z","World Bank Group","Fraudulent Practice"
"Shaanxi Beisheng Dongfeng Automobile Sales and Service Co. Ltd.","East to Mingguang Road Area G4 Jingkai Area Xi'an City People's Republic of China","China","2020-08-07T02:33:59Z","2025-08-07T02:33:59Z","2021-04-28T02:33:59Z","Asian Development Bank","Collusive Practice"
"Shaanxi Herui Technology Development Co., Ltd.(formerly Shaanxi Neoplan Trading Co., Ltd.)","Room 20101 Unit 2, Building 2, No. 59 of Park North Road Xincheng District Xi'an City Shaanxi Province PEOPLE'S REPUBLIC OF CHINA","China","2022-11-22T12:00:59Z","2026-11-22T12:00:59Z","2023-06-09T12:00:59Z","Asian Development Bank","Fraudulent Practice"
"Shaanxi Hongyi Automobile Sales and Service Co. Ltd.","No. 58 Fengchan Road Weiyang District Xi'an City Shaanxi Province People's Republic of China","China","2020-08-07T02:29:59Z","2025-08-07T02:30:59Z","2021-04-28T02:30:59Z","Asian Development Bank","Collusive Practice"
"Shaanxi Huaxing New Century Automobile Service Trade Co. Ltd.","Area C5 Fengcheng Fourth Road Economic Development (Jingkai) District Xi'an City People's Republic of China","China","2020-08-07T02:37:59Z","2025-08-07T02:37:59Z","2021-04-28T02:37:59Z","Asian Development Bank","Collusive Practice"
"Shaanxi Jiaming Industry Co. Ltd.","No. 6 Efang First Road Weiyang District Xi'an City People's Republic of China","China","2020-08-07T02:18:59Z","2025-08-07T02:19:59Z","2021-04-28T02:19:59Z","Asian Development Bank","Collusive Practice"
"Shaanxi Tianqin Jianan Engineering Co., Ltd.","No. 221-10, Building 2 Chongwen Tower Scenic Area Chongwen Town Jinghe New Town Xixian New District Shaanxi Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Shailung Construction Company Pvt. Ltd.","P.O. Box 19679 Sunakothi-8, Dholahity Lalitpur Nepal","Nepal",,Ongoing,"2020-07-06T01:33:59Z","World Bank Group","Corrupt Practice"
"Shandong Hualong Landscaping Engineering Co., Ltd.","Room #2312, 23rd Floor, Tower 2, 61 Haier Road, Qingdao Shandong Province China","China",,Ongoing,"2018-08-07T12:00:59Z","World Bank Group","Fraudulent Practice"
"Shandong Juhe Agricultural Service Development Co., Ltd.","Huangzhuang Administrative Village Xiaojing Town Dongming County Heze City Shandong Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Shanghai Changqing Electromechanical Device Installation Ltd","East End of Petrochemical Lingui Road, Jinshan District, Shanghai, China","China",,Ongoing,"2020-09-14T10:52:59Z","World Bank Group","Fraudulent Practice"
"Shanghai Hetai Construction Engineering Co., Ltd.","No. 289, Zhujing Town Jinshan District Shanghai City, China","China",,Ongoing,"2024-05-15T11:50:59Z","World Bank Group","Fraudulent Practice"
"Shanghai Petrochemical Jingui Electromechanical Device Installation Engineering Ltd","Room 406,No, 64 Xiushan Road, Chongming Industrial Zone, Shanghai City, China","China",,Ongoing,"2020-09-14T11:00:59Z","World Bank Group","Fraudulent Practice"
"Shenzhen Zhongru Investment Co., Ltd.","No1410-14135, Main Tower Maritime Center No 59 Linhai Avenue Nanshan Street Qianhai Shenzhen-Hong Kong Cooperation Zone Shenzhen Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Sichuan Gezhouba Batongwan Expressway Co., Ltd.","Bazhong Economic Development Zone Sichuan Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Signaletique S.A. SPF","6, rue Eugene Ruppert, L-2453 Luxembourg","Luxembourg","2019-11-22T12:00:59Z","2025-10-23T12:00:59Z","2019-12-27T12:00:59Z","World Bank Group","Collusive Practice"
"Silvestre, Florencia M.","Unit 1501 Global Tower Condominium Bankal, Makati City Metro Manila Philippines","Philippines",,Indefinite,"2017-05-31T09:36:59Z","Asian Development Bank","Fraudulent Practice"
"Simed International b.v.","Middenwetering, 3543 AR Utrecht","Netherlands",,Ongoing,"2020-07-06T01:35:59Z","World Bank Group","Corrupt Practice"
"Sincam Water Technology Co., Ltd.","21B Street 334, Sangkat Boeung Keng Kang 1, Khan Chamkar Mon, Phnom Penh, Cambodia","Cambodia",,Ongoing,"2016-03-23T02:14:59Z","World Bank Group","Corrupt Practice"
"Sino-Kenya Engineering Group Company Limited","NextGen Apartments, Block B House No. 41 Mombasa Road Nairobi Kenya","Kenya",,Ongoing,"2024-10-11T02:10:59Z","African Development Bank","Fraudulent Practice"
"Sistemas Solidos de Guatemala S.A.","3a Avenida A 3-15, Zona 1, Guatemala City, Guatemala","Guatemala","2020-07-28T12:00:59Z","2033-07-27T12:00:59Z","2020-12-16T12:00:59Z","Inter-American Development Bank Group","Collusive Practice"
"Social and Environmental Development Joint Stock Company (SECO)","Address 1: No. 40, Lane 575, Kim Ma, Ngoch Khanh Ward, Ba Dinh District, Hanoi Vietnam; Address 2: No. 20, 445 Lac Long Quan Street, Tay Ho District, Hanoi, Vietnam","Vietnam",,Ongoing,"2017-05-31T01:29:59Z","World Bank Group","Fraudulent Practice"
"Societe Grands Travaux Mghaieth (GTM)","21, Kemal Ataturk Street, Tunis 1001","Tunisia",,Ongoing,"2021-04-28T01:34:59Z","World Bank Group","Fraudulent Practice"
"Societe Tunisie Travaux","Rue Abou Baker Essidik Cité Riadh, 4023 Sousse The Republic of Tunisia","Tunisia",,Ongoing,"2022-03-11T01:56:59Z","World Bank Group","Fraudulent Practice"
"SoftTech IT Solutions and Services Ltd.","SB 98 Banex Plaza Wuse 11 – Abuja, FCT Nigeria","Nigeria","2022-03-29T12:00:59Z","2026-05-28T12:00:59Z","2022-05-26T12:00:59Z","World Bank Group","Corrupt Practice"
"Software Development and IT Solution Joint Stock Company","No. 11, Chau Long Street True Bach Ward, Ba Dinh District Hanoi Vietnam","Vietnam","2019-02-25T12:38:59Z","2028-11-24T12:39:59Z","2019-06-03T11:39:59Z","World Bank Group","Collusive Practice"
"Soluciones Energeticas, S.A. ","Avenida Real de Pinto, 146, Madrid 2802","Spain",,Ongoing,"2019-01-21T10:02:59Z","World Bank Group","Corrupt Practice"
"Solutions for Development Support (Pvt.) Ltd.","Office No. 7, Block No. 19 PHA, G-7/1 44000 Islamabad Pakistan","Pakistan","2024-03-26T12:00:59Z","2027-10-20T12:00:59Z","2024-05-15T12:00:59Z","World Bank Group","Fraudulent Practices"
"Somsavanh Chaleun Construction Co., Ltd.","Phonsavanh Village Pakse District Champasak Province LAO PEOPLES DEMOCRATIC REPUBLIC","Lao Peoples Democratic Republic","2022-07-13T12:00:59Z","2027-07-13T12:00:59Z","2023-02-10T12:00:59Z","Asian Development Bank","Fraudulent practices"
"Sony Commercial Agencies","P.O. Box 16416 – 00100 Nairobi Kenya","Kenya",,Ongoing,"2023-04-24T12:00:59Z","African Development Bank","Fraudulent Practice"
"Speedtech Energy Burkina Faso S.A.","Secteur 16, rue de l UNFPA Porte 580 Ouaga 10 BP 13904 Ouagadougou 10 Burkina Faso","Burkina Faso",,Ongoing,"2024-12-20T01:06:59Z","World Bank Group","Fraudulent Practice"
"Speedtech Energy Co., Ltd.","5th Floor, No.568 Sec. I, Min-Sheng N. Road Kwei-Shan Hsiang Taoyuany Hsien 33393 Taiwan China","China",,Ongoing,"2024-12-20T05:27:59Z","World Bank Group","Fraudulent Practice"
"Steeve Laberge","19 Belvedere, Val-des-Monts, Quebec, J8N1J1, Canada","Canada",,Ongoing,"2019-08-23T01:54:59Z","World Bank Group","Fraudulent Practice"
"Strategic Asia Global, Ltd.","C/O Dr. Satish Mishra Director Bali Jalan Badak Agung 19 No. 5 Renon Denpasar 80235 INDONESIA","Indonesia",,Ongoing,"2023-09-22T11:15:59Z","Asian Development Bank","Fraudulent Practice"
"Strategic Asia Global, Ltd.","Attn: Ashish Mishra Director Palmeira Mansions 29 Palmeira Avenue Mansions 21-23 Church Road Hove Sussex BN3 2FA UNITED KINGDOM","United Kingdom",,Ongoing,"2023-09-22T11:15:59Z","Asian Development Bank","Fraudulent Practice"
"Stroy Montaj Invest Formerly known as Kuvasoy Tamir Kurlish LLC","125 Nemat Berk Street Mirzo Ulugbek District Tashkent City Uzbekistan","Uzbekistan",,Ongoing,"2023-03-30T11:06:59Z","World Bank Group","Fraudulent Practice"
"Sugdiyon Limited Liability Company","163 Khakhrinau Street, Garauty Settlement, Dzhilikul District, Khatlon Province Republic of Tajikistan","Tajikistan","2012-01-04T04:36:59Z",Ongoing,"2015-07-07T03:36:59Z","World Bank Group","Fraudulent Practice"
"Sujainco","'JL. Manunggal Pratama No. 8, Kel. Cipinang Melayu Kec. Makassar Jakarta Timur 13620 Republic of Indonesia'","Indonesia",,Ongoing,"2023-08-04T03:39:59Z","World Bank Group","Fraudulent Practice"
"Sunaula Khimti Pvt. Construction Ltd. Also known as M/s Sunaula Khimti","Anamnagar Kathmandu Nepal","Nepal",,Ongoing,"2019-06-03T11:44:59Z","Asian Development Bank","Fraudulent Practice"
"Supachai Prechaterasat","151 Team Building, Moo 12, Nuanchan Road, Kong Kum, Bueng Kum, Bangkok, Thailand","Thailand",,Ongoing,"2011-11-29T02:52:59Z","World Bank Group","Fraudulent Practice"
"Sustainable Development Consultants Cambodia Limited","No. 06, National Road No. 5 & St. 1, Sangket Charng Chamres II, Khan Russey Keo, Phnom Penh, Cambodia","Cambodia",,Ongoing,"2022-01-21T05:01:59Z","Asian Development Bank","Fraudulent Practice"
"Swansea Tools Resources","Plot 28 Govt House/Illah Road, Opposite Nelrose Hotel, GRA, Asaba, Delta State, Nigeria 22 Anwain Road, Opposite Government House, Asaba, Delta State, Nigeria","Nigeria",,Ongoing,"2023-06-09T01:24:59Z","World Bank Group","Fraudulent Practice"
"Syani Phirom","No. 06, National Road No. 5 & St. 1, Sangket Charng Chamres II, Khan Russey Keo, Phnom Penh, Cambodia","Cambodia","2011-07-12T09:40:59Z",Indefinite,"2011-11-29T10:40:59Z","Asian Development Bank","Fraudulent Practice"
"T&G Ltd.","Apt. 44, #22 Dimitry Tavdadebuli Str. Tbilisi, Georgia DidiDigomi Tavdadebuli Str. 22, Flat 44 Tbilisi 0131, Georgia Vazha Pshavela 45 Tbilisi, Georgia","Georgia",,Ongoing,"2022-07-07T11:00:59Z","World Bank Group","Collusive Practice"
"T.E. Australia","Suite 704, 815 Pacific Highway Chatswood NSW 2067 Australia","Australia","2024-04-02T12:00:59Z","2026-10-01T12:00:59Z","2024-05-15T12:00:59Z","World Bank Group","Collusive, Fraudulent, and Obstructive Practices"
"T.E. New Zealand","Unit 7, 325 Ti Rakau Drive Burswood Auckland, 2013 New Zealand","New Zealand","2024-04-02T12:00:59Z","2026-10-01T12:00:59Z","2024-05-15T12:00:59Z","World Bank Group","Collusive, Fraudulent, and Obstructive Practices"
"T.E. USA, Ltd.","99 Tulip Ave. Floral Park NY 11001 U.S.A.","United States of America","2024-04-02T12:00:59Z","2026-10-01T12:00:59Z","2024-05-15T12:00:59Z","World Bank Group","Collusive, Fraudulent, and Obstructive Practices"
"TCV Co., Ltd.","Road No. 8, Long Thanh Indutrial Park Tam An Commune Long Thanh District Dong Nai Province Viet Nam","Vietnam","2024-04-02T12:00:59Z","2026-10-01T12:00:59Z","2024-05-15T12:00:59Z","World Bank Group","Collusive, Fraudulent, and Obstructive Practices"
"TIS Consultants Company Limited ","151 Team Building, Moo 12, Nuanchan Road, Klong Kum, Bueng Kum, Bangkok, Thailand","Thailand",,Ongoing,"2011-11-29T10:57:59Z","World Bank Group","Fraudulent Practice"
"TOO Talap Stroy Service ","42A Zhibek Zholy Str 160019 Shymkent Kazakhstan","Kazakhstan","2022-11-14T05:15:59Z","2025-11-13T05:15:59Z","2022-11-14T05:15:59Z","European Bank for Reconstruction and Development","Fraudulent Practice"
"TPF Getinsa Euroestudios S.L.","Ramón de Aguinaga, 8 Madrid, 28028 Spain","Spain","2021-11-29T02:34:59Z","2027-11-28T02:34:59Z","2022-03-11T02:34:59Z","World Bank Group","Fraudulent Practice"
"TR Construya Panama, S.A.","Centro Empresarial Mar del Sur Oficina 5-13 Calle 1era C – Norte El Carmen Corregimiento de Bella Vista Panama City Panama","Panama","2021-02-09T12:00:59Z","2028-02-08T12:00:59Z","2021-04-28T04:26:59Z","Inter-American Development Bank Group","Corrupt Practice"
"TR Construya S.L.U.","Pol. Ind. La Gravera Avda Dehesa del Piomo, 26 21440 Lepe Huelva Spain","Spain","2021-02-09T12:00:59Z","2028-02-08T12:00:59Z","2021-04-28T04:23:59Z","Inter-American Development Bank Group","Corrupt Practice"
"TTEK Inc.","C/O Marlon Q. Paz Mayer Brown 1999 K St., NW Washington, DC 20006 USA","United States of America","2021-09-20T10:47:59Z","2025-09-19T10:47:59Z","2021-12-03T11:48:59Z","Inter-American Development Bank Group","Collusive Practice"
"TUÂN, Lưu Đ’ưc (Tuan, Luu D’uc)","Xuan Tan Ward Xuan Thanh Commune Yen Thanh District Nghe An Province VIET NAM Nha Ba Doan Thi Tam Xom Tan Xuan Commune Xuan Thanh District Yen Thanh VIET NAM","Vietnam","2021-03-31T12:14:59Z","2026-03-30T12:14:59Z","2022-01-14T01:14:59Z","Asian Development Bank","Fraudulent Practice"
"Tai Po SGCC Road Antong Project Management Co., Ltd.","Baihou Mountain Villa Baihou Town Dapu County Meizhou Guangdong China","China","2024-01-30T01:00:59Z","2026-05-29T12:00:59Z","2024-03-11T12:00:59Z","World Bank Group","Fraudulent Practice"
"Taihan CNS","Taihan Smart Tower 317 Simin-daero Dongan-gu, Anyang-si, 14055 Gyeonggi-do Republic of Korea","Republic of Korea","2024-04-02T12:00:59Z","2026-10-01T12:00:59Z","2024-05-15T12:00:59Z","World Bank Group","Collusive, Fraudulent, and Obstructive Practices"
"Taihan Electric Wire Co., Ltd. (also known as Taihan Cable & Solution Co., Ltd.)","Taihan Smart Tower 317 Simin-daero Dongan-gu Anyang-si, 14055 Gyeonggi-do Republic of Korea","Republic of Korea","2024-04-02T12:00:59Z","2026-10-01T12:00:59Z","2024-05-15T12:00:59Z","World Bank Group","Collusive, Fraudulent, and Obstructive Practices"
"Taihan Kuwait Fiber Optic Cable Co.","Unit 21176 Mina Abdullah Industrial Area 21 Al Ahmadi Governorate State of Kuwait","State of Kuwait","2024-04-02T12:00:59Z","2026-10-01T12:00:59Z","2024-05-15T12:00:59Z","World Bank Group","Collusive, Fraudulent, and Obstructive Practices"
"Taihan Netherlands B.V.","Stroombaan 4 1181 VX Amstelveen Netherlands","Netherlands","2024-04-02T12:00:59Z","2026-10-01T12:00:59Z","2024-05-15T12:00:59Z","World Bank Group","Collusive, Fraudulent, and Obstructive Practices"
"Taizhou Saierlndustrial Ltd","Jiannong Village,Jiantiao Town, Sanmen County, Taizhou City, Zhejiang Province, China","China",,,"2020-09-14T10:54:59Z","World Bank Group","Fraudulent Practice"
"Technique Import Export Joint Stock Company","No. 70 Tran Hung Dao Street Tran Hung Dao Ward Hoan Kiem District Hanoi City Vietnam","Vietnam","2021-08-10T12:09:59Z","2026-08-09T12:09:59Z","2022-01-14T01:09:59Z","World Bank Group","Collusive Practice"
"Tenenge Montagem e Manutenção Industrial Ltda","Rua Lemos Monteiro, nº 120, 12º andar, parte G, Butantã, São Paulo/SP, Brasil, CEP: 05501-050","Brazil","2019-08-30T01:51:59Z","2024-08-01T11:04:59Z","2022-07-20T01:51:59Z","Inter-American Development Bank Group","Corrupt Practice"
"Tengwangge Construction Engineering Group Co., Ltd. may also be doing business as  Jiangxi Tengwangge Construction Engineering Group. Co. Ltd.","Room 1301, Building A, Heng Sheng Yin Du 850 Fenghuang Zhong Avenue Honggutan New District, Nanchang City Jiangxi Province, China 330038","China",,Ongoing,"2022-12-02T12:00:59Z","World Bank Group","Fraudulent Practice"
"Thai Son Traffic Work Construction JSC  (formerly Hang An Group JSC)","Số 77, Khu biệt thự Ngân Long Đường Nguyễn Hữu Thọ Xã Phước Kiển Huyện Nhà Bè Ho Chi Minh City Vietnam Số 51, Lȃ Xuȃn Oai phuòng Long Truòng quȃn 9 Ho Chi Minh City Vietnam","Vietnam","2021-12-06T02:37:59Z","2028-06-05T01:37:59Z","2022-03-11T02:37:59Z","World Bank Group","Fraudulent Practice"
"Thang Loi Group Co., Ltd.","Durong 57A, Thi Tran Lam Huyen Y Yen Nam Dinh Vietnam","Vietnam",,Ongoing,"2020-05-18T08:34:59Z","World Bank Group","Fraudulent Practice"
"The Glocoms Group, Inc.","Chicago, Il 60611 USA","USA",,Ongoing,"2018-08-07T08:27:59Z","World Bank Group","Fraudulent Practice"
"Tian Xiaoyang","No. 6 Epang 1st Road, Weiyang District, Xi'an City, People's Republic of China","China","2020-08-07T04:46:59Z","2026-08-07T04:46:59Z","2021-04-28T12:00:59Z","Asian Development Bank","Collusive Practice"
"Tianchang Changhong Construction Engineering Co., Ltd.","Bianqiao Village Industrial Park Yeshan Tianchang Anhui Province China","China",,Ongoing,"2022-12-02T01:11:59Z","World Bank Group","Fraudulent Practice"
"Tianjin Binhai New Area Dagang Huanke Lantian Sewage Treatment Co., Ltd.","No. 1061, Yingbin Street Extension Line Dagang Binhai New Area Tianjin People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Tianjin Binhai New Area Tanggu Huanke Xinhe Sewage Treatment Co., Ltd.","North of Jingjintang Expressway East of Heichu River West of Tanghuang Road Tanggu Marine Sicence and Technology Park Binhai High-tech Zone Tianjin People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Tianjin Haichuanda Water Co., Ltd.","Xingfu Gate Mengjiangnv Avenue Jiashan Industrial New District Jinshi City Changde City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Tianjin Jinnan District Huanke Sewage Treatment Co., Ltd.","No. 1061, Yingbin Street Extension Line Dagang Binhai New Area Tianjin People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Tiger IT Americas LLC","999 3rd Avenue, Suite 700, Seattle, WA, 98104-4039, United States","United States of America","2019-11-22T12:00:59Z","2028-10-23T12:00:59Z","2019-12-27T12:00:59Z","World Bank Group","Collusive Practice"
"Tiger IT Bangladesh Ltd","House 21, Road 28, Block-K, Banani Model Town Dhaka, 1213, Bangladesh","Bangladesh","2019-04-24T12:00:59Z","2028-10-23T12:00:59Z","2019-08-23T12:00:59Z","World Bank Group","Collusive Practice"
"Timir LLP","Dostyk Street, 117/6, Office 203 Almaty Republic of Kazakhstan A25D602","Kazakhstan","2024-04-16T12:00:59Z","2026-12-15T12:00:59Z","2024-05-15T12:00:59Z","World Bank Group","Fraudulent Practice"
"Todini Costruzioni Generali S.p.A.","Via Aurelia 475/477 - 00165 Rome Italy","Italy","2022-11-24T12:00:59Z","2029-11-24T12:00:59Z","2023-08-04T12:00:59Z","Asian Development Bank","Corrupt Practice"
"Tork Partners Yonetim ve Danismanlik A.S.","Kurucesme Mahallesi Arnavutkoy Kurucesme Caddesi No. 37 Besiktas Istanbul Turkiye","Türkiye","2023-04-19T12:00:59Z","2025-04-18T12:00:59Z","2023-06-09T12:00:59Z","World Bank Group","Fraudulent Practice"
"Tractebel Engineering S.A.","Boulevard Simon Bolivar, 34-36 1000 Brussels Belgium","Belgium","2021-11-29T09:15:59Z","2025-09-28T08:15:59Z","2022-01-07T01:18:59Z","Inter-American Development Bank Group","Corrupt Practice"
"Tuan Hung Ltd.","Xuan Tan Ward Xuan Thanh Commune Yen Thanh District Nghe An Province VIET NAM Nha Ba Doan Thi Tam Xom Tan Xuan Commune Xuan Thanh District Yen Thanh VIET NAM","Vietnam","2021-03-31T12:12:59Z","2026-03-30T12:12:59Z","2022-01-14T01:12:59Z","Asian Development Bank","Fraudulent Practice"
"URALKOTLOSERVICE PKF ZAO","2 BRUSNITSYN STREET, APT. 14, 623700, BEREZOVSKY, SVERDLOVSK OBLAST RUSSIAN FEDERATION 82 PERVOMAISKAYA STREET, 620062, YEKATERINBURG RUSSIAN FEDERATION","Russian Federation",,Ongoing,"2019-01-21T10:09:59Z","World Bank Group","Fraudulent Practice"
"Ulife America Central S.A.","Calle 50 con calle Elvira Mendez Edificio Financial Center (Towerbank) Piso 29 Panama City Panama","Panama","2022-03-25T12:00:59Z","2030-03-24T12:00:59Z","2022-05-26T12:00:59Z","Inter-American Development Bank Group","Fraudulent practice and corrupt practices"
"Ultimate Engineering Limited","P.O. Box 76408-00508, Joseph Kang'ethe Road, Woodley Estate, Nairobi, Kenya","Kenya",,Ongoing,"2022-07-07T10:55:59Z","World Bank Group","Fraudulent Practice"
"Union Strong Group, Inc.","Union Strong Building 500 Benson Street Monrovia Liberia","Liberia","2024-09-22T12:00:59Z","2027-06-21T12:00:59Z","2024-10-11T12:00:59Z","World Bank Group","Corrupt Practices"
"Unique Concept Enterprises","No. 40 Nelson Williams Street Warri Delta State Nigeria","Nigeria","2020-12-03T12:00:59Z","2025-12-02T12:00:59Z","2021-04-28T04:21:59Z","World Bank Group","Fraudulent Practice"
"UralKotloService PKF ZAO (Tambov) (also known as UralKotloservice Commercial Production Firm Closed Joint-Stock Co.) ","7A SHIROKAYA STREET, 392000, TAMBOV RUSSIAN FEDERATION 1 KRASNOARMEISKAYA SQUARE, 392023, TAMBOV RUSSIAN FEDERATION 7A SHIROKAYA STREET, 390218, TAMBOV RUSSIAN FEDERATION 9/7 KRASNOZNAMENNAYA STREET, 620012, YEKATERINBURG RUSSIAN FEDERATION","Russian Federation",,Ongoing,"2019-01-21T10:09:59Z","World Bank Group","Fraudulent Practice"
"VN1 Industrial Group JSC","56B, Nguyen Dong Chi Road Nam Hong Ward Hong Linh Ha Tinh Province Vietnam","Vietnam","2021-01-05T12:00:59Z","2025-01-04T12:00:59Z","2021-04-28T04:17:59Z","World Bank Group","Corrupt Practice"
